benchmark,corrected_accuracy,corrected_accuracy_percent,corrected_correct_answers,corrected_invalid_answers,corrected_valid_answers,corrected_wilson_lower,corrected_wilson_upper,decision_changes,experiment_id,format_only_recoveries,mode,model,model_revision,observed_rows,previous_accuracy,previous_correct_answers,previous_valid_answers,rescored_path,rescored_sha256,samples,source_manifest_path,source_manifest_sha256,source_prediction_path,source_prediction_sha256,terminal_accuracy,terminal_correct_answers,terminal_valid_answers
gsm8k,0.3388931008339651,33.88931008339651,447,21,1298,0.3138495376556385,0.3648723551561537,351,qwen3-0.6b-socratic,350,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,1319,0.2608036391205459,344,948,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_socratic/gsm8k/greedy/rescored.jsonl,a05bcb4fa15cc9c01253a239a7e431f2dc35a8ff59e5d1b7b4d9e1944b2d1e1b,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/gsm8k/greedy/manifest.json,d47cb1cbde2c3921929a470f560931fab2aa291cf8890617e2641743967a4219,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/gsm8k/greedy/predictions.jsonl,964632c7b3b76af81860223a3e4ea1169400df31a00c1cbba14b0e614405b3e4,0.2608036391205459,344,948
multiarith,0.8722222222222222,87.22222222222223,157,0,180,0.8155638865813233,0.9133250205214758,76,qwen3-0.6b-socratic,76,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,180,0.5055555555555555,91,104,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_socratic/multiarith/greedy/rescored.jsonl,4c4c145b1bc066a62e5e20057f5a09748442ca33b16b64242075ddee1972d8d3,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/multiarith/greedy/manifest.json,ba9dd5ca91acde1c40426920de69718d2e0571162a0b90075e8e4c3b288f5ba7,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/multiarith/greedy/predictions.jsonl,f7a5c8cd9590487fb3888851c0352b7b25b8a172abaf906c284157458d6ff2af,0.5055555555555555,91,104
svamp,0.4766666666666667,47.666666666666664,143,4,296,0.4208016618743125,0.533121676782833,98,qwen3-0.6b-socratic,98,greedy,mlx-community/Qwen3-0.6B-bf16,42096995f6402fde107068cf530136fe64b604f8,300,0.3233333333333333,97,198,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_0.6b_socratic/svamp/greedy/rescored.jsonl,2fc3e01b0ebc0785085b0feb53bc225d9b616ee662980356c3651a5d48b227fb,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/svamp/greedy/manifest.json,cd997bf119ceefb50785715c0d335acdb7c266e58c23c53611717e0881c2b3d1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_0.6b_socratic/svamp/greedy/predictions.jsonl,e61183b2379faa8aa5b701c4c616060161864c369f8873247c72e06cfaee64d3,0.3233333333333333,97,198
gsm8k,0.379833206974981,37.98332069749811,501,9,1310,0.35402542786644076,0.4063389015955312,54,qwen3-1.7b-base,54,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,1319,0.37907505686125853,500,1256,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_base/gsm8k/greedy/rescored.jsonl,b80742991bc8884cea425df9f9006baa2728132e2f742e5f55c4920b2a7dcc51,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/gsm8k/greedy/manifest.json,19f366abc98ae7208c111545fc761a1c624f09e060900ae3947f71c167b2aa69,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/gsm8k/greedy/predictions.jsonl,fafe11e44def6aa83dbe319f733d6d090cd3ff60aa75a8cf8a5f25889fb124b8,0.37907505686125853,500,1257
multiarith,0.9333333333333333,93.33333333333333,168,0,180,0.8871013100703047,0.9614559250642973,0,qwen3-1.7b-base,0,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,180,0.9333333333333333,168,180,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_base/multiarith/greedy/rescored.jsonl,147922499217adffcbc32b36a6a810a5a794dcaf870c1329fa7c00393b4c38b6,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/multiarith/greedy/manifest.json,11cff2df1fc080e9b27bd3394c34fb537a480049bbd43c9435675dbcc8eaa5a6,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/multiarith/greedy/predictions.jsonl,beb1a6f4452d9ea4bbbe9521ece766b8a34dfc9c3bbc88f60d280ab6e8bdbe7c,0.9333333333333333,168,180
svamp,0.7466666666666667,74.66666666666667,224,8,292,0.6945458844004171,0.7925502497954735,6,qwen3-1.7b-base,6,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,300,0.7433333333333333,223,286,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_base/svamp/greedy/rescored.jsonl,fc488b98d09ab31c2b638743bb9d2092addb93e4f3904b60311dc454013d41fe,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/svamp/greedy/manifest.json,baf5cba038a475ed1429c5714491fff27fa36191de057c081bca201308ac416a,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_base/svamp/greedy/predictions.jsonl,6bd3ced0e8e0cafa5c8bc7467dfc660ec2d26e4ffbeb61114690001256e53374,0.7433333333333333,223,286
gsm8k,0.5602729340409401,56.02729340409401,739,7,1312,0.5333496832631133,0.5868461262496516,10,qwen3-1.7b-non-socratic,10,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,1319,0.5602729340409401,739,1302,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_non_socratic/gsm8k/greedy/rescored.jsonl,7e43055b340e4ed7e427887844e9e48f344f5912dc24bbb6e5762c1a171fe3b1,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/gsm8k/greedy/manifest.json,f93619a662f3c87d5f3a80379ec90aa0e04d29fe052e0ad1e2d1e9c22f924b3d,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/gsm8k/greedy/predictions.jsonl,851ad33b5a0914ede55cd660815c51a1b450eff3b757d0b56882769ae1bdaf09,0.5602729340409401,739,1302
multiarith,0.9611111111111111,96.11111111111111,173,0,180,0.9219152218849264,0.981036707809586,0,qwen3-1.7b-non-socratic,0,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,180,0.9611111111111111,173,180,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_non_socratic/multiarith/greedy/rescored.jsonl,98e04b5cd61cba8194c77c5332bf61049e96667383ce58dcf4299ed0241bf6bb,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/multiarith/greedy/manifest.json,7ee5f6fa10e2d1183ac65be1f16a925003b76bee976308484cef54ee56cb8ac1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/multiarith/greedy/predictions.jsonl,101e5a0a649a10cd617f9d66423c3e9d59ca83ec0ecafc568d7523fe239882ab,0.9611111111111111,173,180
svamp,0.6333333333333333,63.333333333333336,190,0,300,0.5774367141816826,0.6858584934917716,0,qwen3-1.7b-non-socratic,0,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,300,0.6333333333333333,190,300,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_non_socratic/svamp/greedy/rescored.jsonl,3ffc5a370491ae28c42640e8e11174dbc5d47b32db15da883b9b0f21b8eedd27,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/svamp/greedy/manifest.json,7c5a9a0b4f20e26a6956a490ce76bf8fd84b69b814fb5d1f2f1fab48c0d30f32,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_non_socratic/svamp/greedy/predictions.jsonl,2aedd2e8c5e66808e31cb9d1d6c0d52419b6e13a8a05ea8515c9d58b501c3fa2,0.6333333333333333,190,300
gsm8k,0.55420773313116,55.420773313115994,731,6,1313,0.527264539906743,0.5808360938059951,14,qwen3-1.7b-socratic,14,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,1319,0.55420773313116,731,1299,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_socratic/gsm8k/greedy/rescored.jsonl,92091c04f7531d6f370df9f62f4988046c0297a225e5dc3b2ddc84fac60ceca1,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/gsm8k/greedy/manifest.json,8441c96676418ad58dce68f9ac439404f4b01e3c6111255ffae9636970426889,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/gsm8k/greedy/predictions.jsonl,94a20d3bcd76dd941457fa4db8405d2f6a3f7d533f5e12c970e1de240753cd2a,0.55420773313116,731,1299
multiarith,0.9388888888888889,93.88888888888889,169,0,180,0.8938988876150229,0.9655372864315612,0,qwen3-1.7b-socratic,0,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,180,0.9388888888888889,169,180,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_socratic/multiarith/greedy/rescored.jsonl,40936c206c134d806c4711c27c19c4fb997a265b38ddd2ac6a509a3708211c71,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/multiarith/greedy/manifest.json,16a8586cad1e200aece477f6a98a3674d7822a22d829bea37a9af836616466c9,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/multiarith/greedy/predictions.jsonl,b53b4c1f8148ec4a1bd09a9ca513042c119a89f3b4ffda76e3f5834a0a78e4d8,0.9388888888888889,169,180
svamp,0.6466666666666666,64.66666666666667,194,2,298,0.5910330291100349,0.6985916993307649,1,qwen3-1.7b-socratic,1,greedy,mlx-community/Qwen3-1.7B-4bit,3b1b1768f8f8cf8351c712464f906e86c2b8269e,300,0.6466666666666666,194,297,results/reviewer_rerun/rescored/submitted-last-marked-decimal-v1/runs/qwen3_1.7b_socratic/svamp/greedy/rescored.jsonl,6dfeeb7c361f4046fc195b177f63b487818131096b3347345628ca9dd8efac91,1,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/svamp/greedy/manifest.json,89e76d4911bda7085ffb729617e1699e7f7bace60188ec08daa0925526a18218,manifests-and-predictions-20260921/runs/reviewer_rerun/evaluation/qwen3_1.7b_socratic/svamp/greedy/predictions.jsonl,c63c2441cded346574a4eab0494977d2fd65e0cb8ba6456d34517eb034a0b7d1,0.6466666666666666,194,297
